ID,NAME,BILL
1,paro,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:1		 Time :11:29
	Date    :2019-11-25		User : paro
      DESCRIPTION       QTY   RATE    AMOUNT
        SHAHI PANEER       1       250          250

			CGST	7
			SGST	7
			Total	265
_________________________________________
	TOTAL Paid:265
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
2,rohit,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:2		 Time :11:29
	Date    :2019-11-25		User : rohit
       DESCRIPTION       QTY   RATE    AMOUNT
        SHAHI PANEER       1       250          250

			CGST	7
			SGST	7
			Total	265
_________________________________________
	TOTAL Paid:265
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
3,df,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:3		 Time :11:29
	Date    :2019-11-25		User : df
       DESCRIPTION       QTY   RATE    AMOUNT
        SHAHI PANEER       1       250          250

			CGST	7
			SGST	7
			Total	265
_________________________________________
	TOTAL Paid:265
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
4,fg,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:4		 Time :21:11
	Date    :2019-11-29		Name : fg
      DESCRIPTION       QTY   RATE    AMOUNT

			CGST	0
			SGST	0
			Total	0
_________________________________________
	TOTAL Paid:0
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
5,pulkit,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:5		 Time :21:12
	Date    :2019-11-29	Name : pulkit
      DESCRIPTION       QTY   RATE    AMOUNT

			CGST	0
			SGST	0
			Total	0
_________________________________________
	TOTAL Paid:0
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
6,pulkit,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:6		 Time :21:13
	Date    :2019-11-29	Name : pulkit
	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:5		 Time :21:12
	Date    :2019-11-29	Name : pulkit
      DESCRIPTION       QTY   RATE    AMOUNT

			CGST	0
			SGST	0
			Total	0
_________________________________________
	TOTAL Paid:0
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours

			CGST	0
			SGST	0
			Total	0
_________________________________________
	TOTAL Paid:0
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
7,pulkit,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:7		 Time :21:13
	Date    :2019-11-29	Name : pulkit
    DESCRIPTION       QTY   RATE    AMOUNT

			CGST	0
			SGST	0
			Total	0
_________________________________________
	TOTAL Paid:0
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
8,pulkit,"	               PYTHON RESTRA
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:8		 Time :21:56
	Date    :2019-12-07	  Name : pulkit
      DESCRIPTION       QTY   RATE    AMOUNT
        SHAHI PANEER       1       250          250

			CGST	7
			SGST	7
			Total	265
_________________________________________
	TOTAL Paid:265
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
9,Pulkit,"	               AMBROZIA RESTAURANT
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:9		 Time :14:09
	Date    :2019-12-24	  Name : Pulkit
      DESCRIPTION       QTY   RATE    AMOUNT
        SHAHI PANEER       1       250          250

			CGST	7
			SGST	7
			Total	265
_________________________________________
	TOTAL Paid:265
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
10,gg,"	         AMBROZIA RESTAURANT
	GSTIN/UIN:05AAACS8577K1ZV 
	State Name: Uttarakhand Code:5
	E-Mail:pythonrestra@gmail.com
		POS INVOICE
	Bill No.:10		 Time :14:10
	Date    :2019-12-24	  Name : gg
      DESCRIPTION       QTY   RATE    AMOUNT
        SHAHI PANEER       1       250          250

			CGST	7
			SGST	7
			Total	265
_________________________________________
	TOTAL Paid:265
________________________________________
	7684209211		E&OE
	Your Satisfaction is Ours
"
